region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Cyprus,2020-04-09,0.9162402175276239,0.9470738841781023,0.5537496355946592,1.235393872181608,0.8685140543704786,1.095223795060932
Cyprus,2020-04-10,0.9084377726635801,0.9407160630719449,0.5413499328499458,1.243676005280465,0.853422406377905,1.0866620400934195
Cyprus,2020-04-11,0.9046036891007341,0.9388063585092685,0.5319433960099759,1.257794568495033,0.8440840668673367,1.0836216030661194
Cyprus,2020-04-12,0.8990896649987936,0.9347953728097893,0.5212084753339008,1.2586486505221863,0.8457466105394844,1.0933594647727543
Cyprus,2020-04-13,0.8959442172856804,0.9292068585587598,0.5091960545917598,1.2659927192219331,0.8419478789798134,1.091561652936325
Cyprus,2020-04-14,0.8956506189317301,0.9313453539203042,0.495263517676494,1.2676484085999236,0.8287496871649035,1.0834426173245653
Cyprus,2020-04-15,0.8972116986870201,0.9310324041286391,0.512380241684049,1.2683602284221702,0.84030142105439,1.0962838791087164
Cyprus,2020-04-16,0.8972705473474916,0.9331308114396134,0.502911992930134,1.2646314807059984,0.8187848775918918,1.076032152024338
Cyprus,2020-04-17,0.8976912329465794,0.9327823462796994,0.47625088671220583,1.2662713125655318,0.8541533544726148,1.1163111936322325
Cyprus,2020-04-18,0.8975981203248719,0.9329774088432138,0.5053681696369585,1.3203488268541865,0.8208522567748736,1.0834439166012495
Cyprus,2020-04-19,0.8967576656734468,0.9324067140430845,0.5034107272000536,1.3188371427990029,0.8174665807272272,1.0813790251955242
Cyprus,2020-04-20,0.8975310136128616,0.9331453570529107,0.4592766240566716,1.288317989011991,0.8360638852893227,1.1017514726153337
Cyprus,2020-04-21,0.9002709683873814,0.9338072624744034,0.4701861750481564,1.312443467543075,0.8433768840083553,1.1091510754566904
Cyprus,2020-04-22,0.8999440859612386,0.933786622740756,0.4472983820855643,1.2967386845906388,0.8333906320935129,1.1030886356241372
Cyprus,2020-04-23,0.8992820866554727,0.9345981881190417,0.45133322183530267,1.2975541082646374,0.8148992546787599,1.0853867863209214
Cyprus,2020-04-24,0.8977327427738584,0.9351116394471142,0.4743258049760598,1.3349508018544631,0.8283304447401159,1.1014939614339079
Cyprus,2020-04-25,0.8974327313732088,0.9360230111680088,0.4275774061932326,1.3121340322567119,0.8159542875246965,1.090531460167179
Cyprus,2020-04-26,0.8967991741763209,0.9364310058162828,0.43734644251908095,1.3351193189333364,0.8323772374043568,1.1105123231986345
Cyprus,2020-04-27,0.8966115687266574,0.9348932018315959,0.4561032648851867,1.362799029330477,0.81493860895374,1.1003083582631312
Cyprus,2020-04-28,0.8920731520657877,0.9311434626987047,0.45137572667216175,1.3791352364045877,0.8150355686011297,1.0985359507922434
Cyprus,2020-04-29,0.8916602701505617,0.9304999868354928,0.3830197577279254,1.32053939797611,0.7972244420164716,1.0916512141800816
Cyprus,2020-04-30,0.889228892724268,0.9287041762011519,0.35992604322954735,1.3145008551749362,0.8233820393646584,1.120022812119518
Cyprus,2020-05-01,0.8865444219638093,0.9273220753562278,0.3675965189105518,1.3429840946368916,0.7946217185253197,1.0978352098759059
Cyprus,2020-05-02,0.8852742178159279,0.9270188648018278,0.3902715162469437,1.3649227897731473,0.8046656752367256,1.1049735653728747
Cyprus,2020-05-03,0.8838409982143023,0.9272038855644474,0.36079723178207534,1.345116250871693,0.7908049256598202,1.100657319508918
